,longitude,latitude,T_Thousands_of_tonnes
GBLIV,-3.0135107209999887,53.445063312,15291.026315789473
GBMNC,-2.296875,53.471130371000015,3363.6315789473683
GBIMM,-0.18801561899999797,53.630889615,28052.052631578947
GB203,-0.6909790039999848,53.65887451200001,797.2105263157895
GBGOO,-0.8668823240000165,53.700073241999974,884.4473684210526
IEDRO,-6.333312987999989,53.716674805000025,520.5526315789474
GB221,-0.27040470299999697,53.73930532999998,4600.631578947368
GBHUL,-0.29691550000001143,53.74269850000002,5190.368421052632
GBFLE,-3.005676269999981,53.92169189499998,776.55
IEDDK,-6.387695312999995,54.007690430000025,27.857142857142858
GBHYM,-2.922912597999982,54.03289794900002,1907.5
GBWPT,-6.250793456999986,54.097900390999996,1165.2894736842106
GBMME,-1.1588383199999726,54.61794643899998,20045.263157894737
GBBEL,-5.874521000000016,54.63854600000002,7102.8421052631575
GBKPS,-5.765380859000004,54.720275878999985,458.8
GBLAR,-5.796691894999981,54.85150146500001,1882.157894736842
GBSTR,-5.025024413999972,54.908081055000025,686.0357142857143
GBSUN,-1.361328125,54.91729736299999,379.2631578947368
GBCYN,-5.0178833009999835,54.96710205099998,1288.921052631579
GBTYN,-1.4459838870000112,54.99090576200001,2081.7631578947367
GBLDY,-7.318603515999996,54.998474121000015,776.7105263157895
GBCYP,-4.321173511999973,55.86755562799999,5917.421052631579
GBFOR,-3.2382450000000063,56.0549125,15512.605263157895
GBDUN,-2.919494628999985,56.46588134799998,419.57894736842104
GBGSA,-5.532409668000014,56.56829834000001,4629.086956521739
GBABD,-2.075378418000014,57.141479491999974,2027.4473684210527
GBPHD,-1.7719116210000152,57.501098633000026,518.0263157894736
GBCRN,-4.038085937999995,57.682495116999974,1140.2368421052631
GBKWL,-2.961851000000024,58.988357500000006,3714.1052631578946
GBSUL,-1.281772999999987,60.45676400000002,7549.257142857143
NOEGD,5.989501953000001,58.447692871000015,330.3
NOSVG,5.7346801759999835,58.97430419900002,2317.0833333333335
NOKAS,5.257805500000018,59.414146500000015,6412.2
NOBGO,5.308249999999987,60.3950385,27717.083333333332
NOFRO,5.032287597999982,61.60089111299999,832.4444444444445
NOBRE,4.970275878999985,61.840087890999996,1406.5833333333333
NOMAY,5.11468505900001,61.93487548799999,276.80555555555554
